,code,open,high,low,close
121,002717,29.81,29.81,29.0,
122,300030,32.38,35.42,32.38,
123,300291,50.3,54.67,50.0,
124,300292,52.97,57.42,52.58,
125,300296,23.61,25.96,23.61,
126,300319,35.35,38.83,35.35,
127,300402,25.52,25.52,25.52,
128,300432,94.48,103.73,94.48,
129,300459,66.33,66.33,60.4,
130,300469,16.06,16.06,16.06,
131,300472,18.04,18.04,18.04,
132,300450,186.79,186.79,182.05,
133,600455,61.9,68.32,61.01,
134,600648,47.53,47.53,47.53,
135,603227,48.3,48.3,45.1,
136,300078,45.44,45.44,45.44,
137,600678,29.45,32.24,29.33,
138,002176,40.0,41.81,39.3,
139,002512,32.68,32.68,32.68,
140,002758,81.53,81.53,81.53,
141,300101,43.57,43.57,43.57,
142,300141,32.84,35.87,32.8,
143,300466,42.14,42.14,42.14,
144,601777,24.22,26.08,24.2,
145,603901,59.09,59.09,59.09,
146,000411,25.86,25.86,25.86,
147,000938,110.59,110.59,110.59,
148,002543,28.64,31.25,28.2,
149,002678,25.91,28.17,25.91,
150,002699,46.3,52.38,46.3,
151,300232,24.65,24.65,24.65,
152,300478,25.86,25.86,25.86,
153,001896,19.2,21.13,18.8,
154,002609,62.8,66.14,62.78,
155,300461,63.39,63.39,63.39,
156,300462,64.38,64.38,64.38,
157,600559,70.9,78.25,70.9,
158,601126,35.42,38.96,35.08,
159,603108,76.82,76.82,76.82,
160,000505,17.41,19.15,17.02,
161,002697,18.49,18.49,17.97,
162,300040,19.81,19.81,19.81,
163,300126,35.37,38.74,35.37,
164,300167,48.02,52.28,48.01,
165,300185,17.83,17.83,17.03,
166,300477,18.49,18.49,18.49,
167,600890,16.18,16.18,15.03,
168,603023,59.88,59.88,59.88,
169,603300,30.71,30.71,30.71,
170,300205,32.58,32.58,32.58,
171,300455,66.7,66.7,66.7,
172,300465,46.23,46.23,46.23,
173,600745,52.6,57.46,52.6,
174,601718,13.13,14.42,12.99,
175,601908,26.2,28.62,25.8,
176,002412,35.8,39.19,35.75,
177,002434,26.11,28.73,26.11,
178,002757,58.45,58.45,58.45,
179,300309,49.8,52.18,49.8,
180,600260,22.5,24.99,22.25,
181,603001,50.53,50.53,50.53,
182,603885,50.53,50.53,50.53,
183,600072,38.88,41.95,38.51,
184,600981,19.62,21.58,19.41,
185,002188,42.5,42.5,42.5,
186,002696,31.6,31.6,30.23,
187,300145,43.82,43.82,43.82,
188,300213,42.94,42.94,42.94,
189,300272,28.83,31.82,28.73,
190,300120,28.22,29.84,28.22,
191,300110,18.17,18.17,18.17,
192,300285,34.99,36.67,34.22,
193,002645,26.21,26.21,26.21,
194,002656,25.66,25.66,25.66,
195,600825,21.3,23.02,21.1,
196,000523,21.68,23.68,21.68,
197,002494,29.69,31.94,29.31,
198,600597,28.64,28.64,28.64,
199,300043,19.75,21.7,19.75,
200,600757,18.8,20.6,18.33,
201,600777,13.11,13.11,13.11,
202,300175,18.17,19.94,17.75,
203,601928,22.4,24.68,22.32,
204,000037,16.77,18.18,16.64,
205,600721,21.26,23.36,21.03,
206,002360,16.3,17.74,16.3,
207,600653,10.31,11.24,10.3,
208,000045,19.84,21.6,19.8,
